batch,BM,w_min,BI,f_w_min,f_BI
0,1999-04-10 23:00:00,166 days 00:00:00.000000000,,166 days 00:00:00,
0,2000-04-09 23:00:00,166 days 00:00:00.000000000,365 days 00:00:00,166 days 00:00:00,365 days 00:00:00
1,2001-04-09 23:00:00,166 days 00:00:00.000000000,365 days 00:00:00,166 days 00:00:00,365 days 00:00:00
2,2002-04-09 23:00:00,158 days 23:00:00.000000000,365 days 00:00:00,166 days 00:00:00,365 days 00:00:00
3,2003-01-10 00:00:00,53 days 00:00:00.000000000,275 days 01:00:00,163 days 21:18:00,365 days 00:00:00
4,2004-01-10 00:00:00,68 days 00:00:00.000000000,365 days 00:00:00,130 days 14:54:36,338 days 00:18:00
5,2004-12-25 00:00:00,39 days 00:00:00.000000000,350 days 00:00:00,111 days 20:02:13.199999,346 days 02:36:36
6,2006-02-28 00:00:00,34 days 00:00:00.000000000,430 days 00:00:00,89 days 23:37:33.240000,347 days 06:37:37.200000
7,2007-02-28 00:00:00,36 days 00:00:00.000000000,365 days 00:00:00,73 days 04:32:17.268000,372 days 02:14:20.040000
8,2009-03-29 23:00:00,53 days 23:00:00.000000000,760 days 23:00:00,62 days 00:46:36.087599,369 days 23:10:02.028000
9,2010-10-14 23:00:00,58 days 00:00:00.000000000,564 days 00:00:00,59 days 14:38:37.261319,487 days 06:19:01.419600
10,2012-03-25 23:00:00,75 days 23:00:00.000000000,528 days 00:00:00,59 days 03:03:02.082923,510 days 06:49:18.993720
11,2013-04-23 23:00:00,153 days 23:00:00.000000000,394 days 00:00:00,64 days 04:14:07.458046,515 days 14:22:31.295604
12,2020-05-17 00:00:00,0 days 00:00:00.000000000,,91 days 02:39:53.220632,479 days 02:51:45.906922
